Subject,manipulation,Manipulation,Stimulation,Session,VisualF,Response,StartTime
S10,UL,Attended Visual Field,Active,Post_1,Left,0.8,311.4723197319996
S11,UR,Ignored Visual Field,Active,Post_1,Left,0.6428571428571429,299.4556502035712
S11,UR,Attended Visual Field,Active,Post_1,Right,0.6779661016949152,298.0094947508472
S12,Bi,Control,Active,Post_1,Left,0.72,286.0368099519703
S12,Bi,Control,Active,Post_1,Right,0.660377358490566,297.81459267357064
S13,UL,Ignored Visual Field,Active,Post_1,Right,0.78,290.8557784019997
S13,UL,Attended Visual Field,Active,Post_1,Left,0.6862745098039216,302.104557905882
S14,Bi,Control,Active,Post_1,Right,0.7446808510638298,285.16077625530056
S14,Bi,Control,Active,Post_1,Left,0.5172413793103449,308.9413488654978
S15,UL,Attended Visual Field,Active,Post_1,Left,0.8113207547169812,256.98397482830603
S15,UL,Ignored Visual Field,Active,Post_1,Right,0.640625,333.8309286250046
S16,UL,Ignored Visual Field,Active,Post_1,Right,0.8214285714285714,295.65178405178597
S16,UL,Attended Visual Field,Active,Post_1,Left,0.9259259259259259,304.0050191370373
S17,UR,Attended Visual Field,Active,Post_1,Right,0.47368421052631576,294.4844021263163
S17,UR,Ignored Visual Field,Active,Post_1,Left,0.7647058823529411,288.7776317039223
S18,Bi,Control,Active,Post_1,Left,0.7083333333333334,302.6542394959106
S18,Bi,Control,Active,Post_1,Right,0.5686274509803921,283.89853235302655
S19,UL,Ignored Visual Field,Active,Post_1,Right,0.6938775510204082,293.5034876204065
S19,UL,Attended Visual Field,Active,Post_1,Left,0.58,300.52673559199786
S20,UL,Attended Visual Field,Active,Post_1,Left,0.7719298245614035,314.40863051052617
S20,UL,Ignored Visual Field,Active,Post_1,Right,0.75,277.03416609807687
S21,Bi,Control,Active,Post_1,Left,0.5555555555555556,308.2355486389629
S21,Bi,Control,Active,Post_1,Right,0.5245901639344263,292.065927860724
S22,Bi,Control,Active,Post_1,Left,0.7017543859649122,291.8024470403501
S22,Bi,Control,Active,Post_1,Right,0.7454545454545455,321.70746271818103
S23,Bi,Control,Active,Post_1,Right,0.7555555555555555,311.72318958666904
S23,Bi,Control,Active,Post_1,Left,0.7166666666666667,304.79793681000206
S24,Bi,Control,Active,Post_1,Right,0.625,264.4739844174721
S24,Bi,Control,Active,Post_1,Left,0.7435897435897436,327.14169765638263
S25,UR,Attended Visual Field,Active,Post_1,Right,0.5882352941176471,276.483883537255
S25,UR,Ignored Visual Field,Active,Post_1,Left,0.5192307692307693,320.01908580961543
S26,UR,Ignored Visual Field,Active,Post_1,Left,0.9137931034482759,298.8717102448121
S26,UR,Attended Visual Field,Active,Post_1,Right,0.52,283.20496895398713
S27,UR,Ignored Visual Field,Active,Post_1,Left,0.7222222222222222,314.68431133334417
S27,UR,Attended Visual Field,Active,Post_1,Right,0.6666666666666666,286.2225884087833
S28,UL,Ignored Visual Field,Active,Post_1,Right,0.6666666666666666,284.13208439630773
S28,UL,Attended Visual Field,Active,Post_1,Left,0.8148148148148148,311.2521697333464
S29,UL,Ignored Visual Field,Active,Post_1,Right,0.4339622641509434,300.75565875094384
S29,UL,Attended Visual Field,Active,Post_1,Left,0.5471698113207547,292.10785004339664
S30,UR,Ignored Visual Field,Active,Post_1,Left,0.8269230769230769,316.93681267115414
S30,UR,Attended Visual Field,Active,Post_1,Right,0.7777777777777778,287.30894759814834
S31,Bi,Control,Active,Post_1,Right,0.7540983606557377,299.0653576213124
S31,Bi,Control,Active,Post_1,Left,0.6037735849056604,296.7161258603773
S32,UL,Attended Visual Field,Active,Post_1,Left,0.7884615384615384,295.176197338469
S32,UL,Ignored Visual Field,Active,Post_1,Right,0.6666666666666666,277.8697578375074
S33,Bi,Control,Active,Post_1,Left,0.6851851851851852,283.84295090740693
S33,Bi,Control,Active,Post_1,Right,0.52,308.3734646619994
S34,UL,Attended Visual Field,Active,Post_1,Left,0.6458333333333334,314.7960019312377
S34,UL,Ignored Visual Field,Active,Post_1,Right,0.5714285714285714,266.8920391918224
S35,Bi,Control,Active,Post_1,Right,0.6037735849056604,273.48115707736764
S35,Bi,Control,Active,Post_1,Left,0.631578947368421,323.14439235088156
S36,UR,Attended Visual Field,Active,Post_1,Right,0.55,280.0468067650014
S36,UR,Ignored Visual Field,Active,Post_1,Left,0.49122807017543857,313.47430249122624
S37,Bi,Control,Active,Post_1,Right,0.7017543859649122,308.0143830999773
S37,Bi,Control,Active,Post_1,Left,0.6226415094339622,272.9630292962044
S38,UL,Ignored Visual Field,Active,Post_1,Right,0.5740740740740741,307.18965014444484
S38,UL,Attended Visual Field,Active,Post_1,Left,0.62,286.75109609200047
S39,Bi,Control,Active,Post_1,Right,0.5740740740740741,290.0315030092617
S39,Bi,Control,Active,Post_1,Left,0.8103448275862069,305.50583524310684
S1,Bi,Control,Active,Post_2,Left,0.8867924528301887,290.3650027584847
S1,Bi,Control,Active,Post_2,Right,0.6785714285714286,305.0314233321369
S2,UR,Attended Visual Field,Active,Post_2,Right,0.8421052631578947,287.7654409701487
S2,UR,Ignored Visual Field,Active,Post_2,Left,0.803921568627451,305.4509994411526
S3,UR,Attended Visual Field,Active,Post_2,Right,0.6538461538461539,298.0969365019191
S3,UR,Ignored Visual Field,Active,Post_2,Left,0.9166666666666666,298.10728853666274
S4,UR,Attended Visual Field,Active,Post_2,Right,0.6851851851851852,284.67251468699044
S4,UR,Ignored Visual Field,Active,Post_2,Left,0.6557377049180327,299.02665682453244
S5,UR,Attended Visual Field,Active,Post_2,Right,0.5892857142857143,291.8092892446262
S5,UR,Ignored Visual Field,Active,Post_2,Left,0.8125,296.95983652706974
S6,UL,Ignored Visual Field,Active,Post_2,Right,0.660377358490566,276.19349397738347
S6,UL,Attended Visual Field,Active,Post_2,Left,0.603448275862069,320.48732290174894
S7,UL,Attended Visual Field,Active,Post_2,Left,0.7924528301886793,297.66214628305005
S7,UL,Ignored Visual Field,Active,Post_2,Right,0.8245614035087719,305.5120077579029
S8,UR,Attended Visual Field,Active,Post_2,Right,0.7966101694915254,316.56210053559334
S8,UR,Ignored Visual Field,Active,Post_2,Left,0.803921568627451,268.88015072352846
S9,UR,Ignored Visual Field,Active,Post_2,Left,0.5806451612903226,285.0496310258168
S9,UR,Attended Visual Field,Active,Post_2,Right,0.7073170731707317,300.83624315122853
S10,UL,Ignored Visual Field,Active,Post_2,Right,0.6491228070175439,318.85136231052655
S10,UL,Attended Visual Field,Active,Post_2,Left,0.7931034482758621,278.39444014137945
S11,UR,Attended Visual Field,Active,Post_2,Right,0.6923076923076923,316.5835417019229
S11,UR,Ignored Visual Field,Active,Post_2,Left,0.8387096774193549,283.56828691935465
S12,Bi,Control,Active,Post_2,Left,0.8181818181818182,319.70520769641735
S12,Bi,Control,Active,Post_2,Right,0.6666666666666666,275.98163659821904
S13,UL,Ignored Visual Field,Active,Post_2,Right,0.7222222222222222,235.68401552500038
S13,UL,Attended Visual Field,Active,Post_2,Left,0.6585365853658537,278.7777545170735
S14,Bi,Control,Active,Post_2,Right,0.6666666666666666,300.07491632569827
S14,Bi,Control,Active,Post_2,Left,0.6530612244897959,291.91389712648066
S15,UL,Ignored Visual Field,Active,Post_2,Right,0.6206896551724138,306.6724927017274
S15,UL,Attended Visual Field,Active,Post_2,Left,0.6949152542372882,291.16696846102104
S16,UL,Attended Visual Field,Active,Post_2,Left,0.9193548387096774,313.65760949677457
S16,UL,Ignored Visual Field,Active,Post_2,Right,0.78,282.05747704800035
S17,UR,Attended Visual Field,Active,Post_2,Right,0.4807692307692308,296.3289416884643
S17,UR,Ignored Visual Field,Active,Post_2,Left,0.7321428571428571,290.9750473607172
S18,Bi,Control,Active,Post_2,Left,0.68,332.74172699799294
S18,Bi,Control,Active,Post_2,Right,0.7678571428571429,264.07566362321296
S19,UL,Ignored Visual Field,Active,Post_2,Right,0.6111111111111112,266.6365619259245
S19,UL,Attended Visual Field,Active,Post_2,Left,0.68,320.5820027279999
S20,UL,Attended Visual Field,Active,Post_2,Left,0.6590909090909091,298.5819620636367
S20,UL,Ignored Visual Field,Active,Post_2,Right,0.5932203389830508,311.5115075186443
S21,Bi,Control,Active,Post_2,Right,0.6290322580645161,281.3947306773813
S21,Bi,Control,Active,Post_2,Left,0.6851851851851852,321.25487278513526
S22,Bi,Control,Active,Post_2,Right,0.8245614035087719,303.0146662263134
S22,Bi,Control,Active,Post_2,Left,0.5660377358490566,289.9479128716951
S23,Bi,Control,Active,Post_2,Right,0.7346938775510204,253.341160591838
S23,Bi,Control,Active,Post_2,Left,0.6607142857142857,328.26467948214395
S24,Bi,Control,Active,Post_2,Left,0.6,259.768947306666
S24,Bi,Control,Active,Post_2,Right,0.6388888888888888,252.53970531666224
S25,UR,Ignored Visual Field,Active,Post_2,Left,0.631578947368421,301.5907453210522
S25,UR,Attended Visual Field,Active,Post_2,Right,0.5094339622641509,292.9694296528298
S26,UR,Ignored Visual Field,Active,Post_2,Left,0.86,282.42211352000305
S26,UR,Attended Visual Field,Active,Post_2,Right,0.7457627118644068,313.4848861898344
S27,UR,Ignored Visual Field,Active,Post_2,Left,0.7192982456140351,287.3571931122876
S27,UR,Attended Visual Field,Active,Post_2,Right,0.5818181818181818,308.74370541637285
S28,UL,Attended Visual Field,Active,Post_2,Left,0.7457627118644068,302.2072959457696
S28,UL,Ignored Visual Field,Active,Post_2,Right,0.5918367346938775,287.5501566244935
S29,UL,Attended Visual Field,Active,Post_2,Left,0.5333333333333333,254.1255271288893
S29,UL,Ignored Visual Field,Active,Post_2,Right,0.45454545454545453,269.701695170455
S30,UR,Attended Visual Field,Active,Post_2,Right,0.7358490566037735,246.17131865849038
S30,UR,Ignored Visual Field,Active,Post_2,Left,0.5714285714285714,343.4809533734692
S31,Bi,Control,Active,Post_2,Right,0.6935483870967742,309.26784057741946
S31,Bi,Control,Active,Post_2,Left,0.6037735849056604,284.6963034037752
S32,UL,Attended Visual Field,Active,Post_2,Left,0.6904761904761905,178.5642144809563
S32,UL,Ignored Visual Field,Active,Post_2,Right,0.7894736842105263,293.36091326316165
S33,Bi,Control,Active,Post_2,Right,0.6363636363636364,297.1404212690911
S33,Bi,Control,Active,Post_2,Left,0.7719298245614035,300.7879995438601
S34,UL,Ignored Visual Field,Active,Post_2,Right,0.6981132075471698,312.6221256207506
S34,UL,Attended Visual Field,Active,Post_2,Left,0.7037037037037037,276.2271864999935
S35,Bi,Control,Active,Post_2,Right,0.5,308.4042337607108
S35,Bi,Control,Active,Post_2,Left,0.6666666666666666,293.07162990175055
S36,UR,Ignored Visual Field,Active,Post_2,Left,0.6065573770491803,263.08370584264765
S36,UR,Attended Visual Field,Active,Post_2,Right,0.6666666666666666,338.54883321502905
S37,Bi,Control,Active,Post_2,Right,0.6875,284.73402815001583
S37,Bi,Control,Active,Post_2,Left,0.543859649122807,314.454657898259
S38,UL,Ignored Visual Field,Active,Post_2,Right,0.5957446808510638,264.4080983170209
S38,UL,Attended Visual Field,Active,Post_2,Left,0.5,284.37667199999953
S39,Bi,Control,Active,Post_2,Right,0.5094339622641509,275.064383490569
S39,Bi,Control,Active,Post_2,Left,0.7049180327868853,317.16052339672586
