Subject,manipulation,Manipulation,Stimulation,Session,VisualF,Response,StartTime
S34,UL,Attended Visual Field,Sham,Pre,Left,0.7090909090909091,280.9747468636075
S35,Bi,Control,Sham,Pre,Left,0.5192307692307693,295.20671452501733
S35,Bi,Control,Sham,Pre,Right,0.7755102040816326,268.36730666328174
S36,UR,Ignored Visual Field,Sham,Pre,Left,0.6727272727272727,309.63825597637543
S36,UR,Attended Visual Field,Sham,Pre,Right,0.639344262295082,286.9084980967321
S37,Bi,Control,Sham,Pre,Left,0.6666666666666666,307.57314539410277
S37,Bi,Control,Sham,Pre,Right,0.6964285714285714,292.7920191017703
S38,UL,Ignored Visual Field,Sham,Pre,Right,0.7446808510638298,263.25615160000797
S38,UL,Attended Visual Field,Sham,Pre,Left,0.6666666666666666,325.5174982177837
S39,Bi,Control,Sham,Pre,Left,0.8409090909090909,294.4030128931891
S39,Bi,Control,Sham,Pre,Right,0.5714285714285714,248.28423556250735
S1,Bi,Control,Sham,Post_1,Right,0.609375,303.7044601609614
S1,Bi,Control,Sham,Post_1,Left,0.8695652173913043,281.0351116804548
S2,UR,Attended Visual Field,Sham,Post_1,Right,0.74,284.5061355240014
S2,UR,Ignored Visual Field,Sham,Post_1,Left,0.7090909090909091,311.1778867963638
S3,UR,Attended Visual Field,Sham,Post_1,Right,0.5555555555555556,319.2956475962961
S3,UR,Ignored Visual Field,Sham,Post_1,Left,0.8181818181818182,279.8678923472725
S4,UR,Attended Visual Field,Sham,Post_1,Right,0.8085106382978723,285.19781469360754
S4,UR,Ignored Visual Field,Sham,Post_1,Left,0.7321428571428571,292.21857488035624
S5,UR,Attended Visual Field,Sham,Post_1,Right,0.7333333333333333,281.96339017779616
S5,UR,Ignored Visual Field,Sham,Post_1,Left,0.9298245614035088,318.61630451581806
S6,UL,Ignored Visual Field,Sham,Post_1,Right,0.75,305.2810239464275
S6,UL,Attended Visual Field,Sham,Post_1,Left,0.5344827586206896,296.5520888879335
S7,UL,Ignored Visual Field,Sham,Post_1,Right,0.6851851851851852,297.12302036851844
S7,UL,Attended Visual Field,Sham,Post_1,Left,0.7704918032786885,300.0748569426228
S8,UR,Ignored Visual Field,Sham,Post_1,Left,0.7894736842105263,270.61100533334417
S8,UR,Attended Visual Field,Sham,Post_1,Right,0.5918367346938775,324.0085323183745
S9,UR,Ignored Visual Field,Sham,Post_1,Left,0.8095238095238095,269.0990180190468
